Wall({x: 220, y: 182, w: 214, h: 20, map: 0, emitters: []})
Wall({x: 220, y: 132, w: 214, h: 20, map: 0, emitters: []})
Wall({x: 336, y: 157, w: 20, h: 70, map: 0, emitters: []})
Wall({x: 123, y: 88, w: 20, h: 70, map: 0, emitters: []})
Wall({x: 188, y: 7, w: 149, h: 20, map: 0, emitters: []})
Wall({x: 123, y: 35, w: 20, h: 38, map: 0, emitters: []})
Wall({x: 387, y: 132, w: 84, h: 20, map: 0, emitters: []})
Wall({x: 336, y: 228, w: 20, h: 73, map: 0, emitters: []})
Wall({x: 419, y: 228, w: 20, h: 73, map: 0, emitters: []})
Wall({x: 377, y: 274, w: 103, h: 20, map: 0, emitters: []})
Wall({x: 123, y: -87, w: 20, h: 170, map: 0, emitters: []})
Wall({x: 419, y: 37, w: 20, h: 170, map: 0, emitters: []})
Wall({x: 281, y: -162, w: 296, h: 20, map: 0, emitters: []})
Wall({x: 385, y: -57, w: 89, h: 20, map: 0, emitters: []})
Wall({x: 419, y: -77, w: 20, h: 20, map: 0, emitters: []})
Wall({x: 419, y: -66, w: 20, h: 20, map: 0, emitters: []})
Wall({x: 419, y: -143, w: 20, h: 20, map: 0, emitters: []})
Wall({x: 351, y: -77, w: 20, h: 20, map: 0, emitters: []})
Wall({x: 351, y: -143, w: 20, h: 20, map: 0, emitters: []})
Wall({x: 351, y: -143, w: 20, h: 20, map: 0, emitters: []})
Wall({x: 352, y: -143, w: 20, h: 20, map: 0, emitters: []})
